"","Time","County","SMR"
"205",4,"Placer",0
"206",4,"Plumas",0
"207",4,"Riverside",1.71145621722515
"208",4,"Sacramento",2.24499864754602
"209",4,"San Benito",10.9965379225453
"210",4,"San Bernardino",0
"211",4,"San Diego",0.417764414311336
"212",4,"San Francisco",0.789012810863398
"213",4,"San Joaquin",2.69896434407169
"214",4,"San Luis Obispo",0
"215",4,"San Mateo",0.904909313583393
"216",4,"Santa Barbara",0
"217",4,"Santa Clara",4.65152182060928
"218",4,"Santa Cruz",0
"219",4,"Shasta",0
"220",4,"Sierra",0
"221",4,"Siskiyou",0
"222",4,"Solano",0
"223",4,"Sonoma",1.41748683401627
"224",4,"Stanislaus",0
"225",4,"Sutter",0
"226",4,"Tehama",0
"227",4,"Trinity",0
"228",4,"Tulare",0
"229",4,"Tuolumne",0
"230",4,"Ventura",0.825591120082736
"231",4,"Yolo",3.14840147611574
"232",4,"Yuba",0
"233",5,"Alameda",0.827930755439702
"234",5,"Alpine",0
"235",5,"Amador",0
"236",5,"Butte",0
"237",5,"Calaveras",0
"238",5,"Colusa",0
"239",5,"Contra Costa",0.375990774700375
"240",5,"Del Norte",0
"241",5,"El Dorado",0
"242",5,"Fresno",0.253541045761715
"243",5,"Glenn",0
"244",5,"Humboldt",0
"245",5,"Imperial",1.36557933014771
"246",5,"Inyo",0
"247",5,"Kern",0.188163300655003
"248",5,"Kings",0
"249",5,"Lake",0
"250",5,"Lassen",0
"251",5,"Los Angeles",1.70093725724022
"252",5,"Madera",1.08986006968406
"253",5,"Marin",3.01048979727927
"254",5,"Mariposa",0
"255",5,"Mendocino",0
"256",5,"Merced",0.303518559417668
"257",5,"Modoc",0
"258",5,"Mono",6.24864295880138
"259",5,"Monterey",0.194408476212586
"260",5,"Napa",1.24935273891997
"261",5,"Nevada",0.883773724524629
"262",5,"Orange",0.405312641869969
"263",5,"Placer",0.435713772296189
"264",5,"Plumas",0
"265",5,"Riverside",0.918977577510024
"266",5,"Sacramento",0.834553845066019
"267",5,"San Benito",1.3626144817067
"268",5,"San Bernardino",0.786843898549797
"269",5,"San Diego",0.880029820581924
"270",5,"San Francisco",1.17322774484905
"271",5,"San Joaquin",1.00331065833969
"272",5,"San Luis Obispo",0.312833244930561
"273",5,"San Mateo",2.57899154371267
"274",5,"Santa Barbara",0.38230703546365
"275",5,"Santa Clara",1.3744546918088
"276",5,"Santa Cruz",0.318385484428141
"277",5,"Shasta",1.47091141235621
"278",5,"Sierra",0
"279",5,"Siskiyou",0
"280",5,"Solano",0.392735272975323
"281",5,"Sonoma",0
"282",5,"Stanislaus",0
"283",5,"Sutter",1.64992490279301
"284",5,"Tehama",0
"285",5,"Trinity",0
"286",5,"Tulare",1.08050985623506
"287",5,"Tuolumne",0
"288",5,"Ventura",0.716110558506547
"289",5,"Yolo",0.780256017993901
"290",5,"Yuba",0
"291",6,"Alameda",0.876952971222316
"292",6,"Alpine",0
"293",6,"Amador",0
"294",6,"Butte",0
"295",6,"Calaveras",0
"296",6,"Colusa",0
"297",6,"Contra Costa",0.58258781090416
"298",6,"Del Norte",0
"299",6,"El Dorado",0
"300",6,"Fresno",0.163689657614581
"301",6,"Glenn",0
"302",6,"Humboldt",0
"303",6,"Imperial",0.440818590784524
"304",6,"Inyo",0
"305",6,"Kern",0.0455553254217376
"306",6,"Kings",0.270008572093731
"307",6,"Lake",0
"308",6,"Lassen",0
"309",6,"Los Angeles",2.27728641840404
"310",6,"Madera",0
"311",6,"Marin",0.161967872134324
"312",6,"Mariposa",0
"313",6,"Mendocino",0
"314",6,"Merced",0.293933762804478
"315",6,"Modoc",0
"316",6,"Mono",0
"317",6,"Monterey",0.188269261174294
"318",6,"Napa",0
"319",6,"Nevada",0
"320",6,"Orange",0.261675530189735
"321",6,"Placer",0.527442987516439
"322",6,"Plumas",0
"323",6,"Riverside",1.09533197902409
"324",6,"Sacramento",0.377159772787731
"325",6,"San Benito",0
"326",6,"San Bernardino",0.990595055437428
"327",6,"San Diego",0.751975945760406
"328",6,"San Francisco",0.662770761125254
"329",6,"San Joaquin",0.323875721288603
"330",6,"San Luis Obispo",0
"331",6,"San Mateo",0.977302058670064
"332",6,"Santa Barbara",0.185117090856083
"333",6,"Santa Clara",0.880211052207602
"334",6,"Santa Cruz",0.154165602986258
"335",6,"Shasta",0
"336",6,"Sierra",0
"337",6,"Siskiyou",0
"338",6,"Solano",0
"339",6,"Sonoma",0.0850492100409762
"340",6,"Stanislaus",0.300487253688005
"341",6,"Sutter",0
"342",6,"Tehama",0.641135631063695
"343",6,"Trinity",0
"344",6,"Tulare",1.39518465647194
"345",6,"Tuolumne",0
"346",6,"Ventura",0.247677336024821
"347",6,"Yolo",1.51123270853556
"348",6,"Yuba",0.532743360482174
"349",7,"Alameda",0.429269778519232
"350",7,"Alpine",0
"351",7,"Amador",0
"352",7,"Butte",0
"353",7,"Calaveras",0
"354",7,"Colusa",0
"355",7,"Contra Costa",0.21833909730121
"356",7,"Del Norte",0
"357",7,"El Dorado",0
"358",7,"Fresno",0.175276346634189
"359",7,"Glenn",0
"360",7,"Humboldt",0
"361",7,"Imperial",1.32166078842069
"362",7,"Inyo",1.96092751809645
"363",7,"Kern",0.468287384858258
"364",7,"Kings",0
"365",7,"Lake",0
"366",7,"Lassen",0
"367",7,"Los Angeles",2.35293764322112
"368",7,"Madera",0
"369",7,"Marin",0.554984593426898
"370",7,"Mariposa",0
"371",7,"Mendocino",0
"372",7,"Merced",0
"373",7,"Modoc",0
"374",7,"Mono",0
"375",7,"Monterey",0.241914965891225
"376",7,"Napa",0
"377",7,"Nevada",0
"378",7,"Orange",0.437109034875098
"379",7,"Placer",0
"380",7,"Plumas",0
"381",7,"Riverside",1.30481175082404
"382",7,"Sacramento",0.30000793468559
"383",7,"San Benito",0
"384",7,"San Bernardino",0.783296360684378
"385",7,"San Diego",0.68710756691062
"386",7,"San Francisco",0.364980678063952
"387",7,"San Joaquin",0.416161319058845
"388",7,"San Luis Obispo",0
"389",7,"San Mateo",1.06973499558866
"390",7,"Santa Barbara",0.317152815713758
"391",7,"Santa Clara",0.588498009349471
"392",7,"Santa Cruz",0
"393",7,"Shasta",0.203372182051054
"394",7,"Sierra",0
"395",7,"Siskiyou",0
"396",7,"Solano",0.325803833306851
"397",7,"Sonoma",0.0728555000351014
"398",7,"Stanislaus",0.643514181703347
"399",7,"Sutter",0
"400",7,"Tehama",0
"401",7,"Trinity",0
"402",7,"Tulare",1.64333630073622
"403",7,"Tuolumne",0
"404",7,"Ventura",0.254600688068797
"405",7,"Yolo",1.4563840912961
"406",7,"Yuba",0
"407",8,"Alameda",0.428883048989035
"408",8,"Alpine",0
"409",8,"Amador",0
"410",8,"Butte",0
"411",8,"Calaveras",0
"412",8,"Colusa",0
"413",8,"Contra Costa",0.218142395411749
"414",8,"Del Norte",0
"415",8,"El Dorado",0
"416",8,"Fresno",0.595402696053037
"417",8,"Glenn",0
"418",8,"Humboldt",0.269596835123539
"419",8,"Imperial",2.82957879219795
"420",8,"Inyo",0
"421",8,"Kern",0.467865504331359
"422",8,"Kings",0.231088417557697
"423",8,"Lake",0
"424",8,"Lassen",0
"425",8,"Los Angeles",2.27327965866294
"426",8,"Madera",0
"427",8,"Marin",0
"428",8,"Mariposa",0
"429",8,"Mendocino",0
"430",8,"Merced",0.377347398194938
"431",8,"Modoc",0
"432",8,"Mono",0
"433",8,"Monterey",0.161131349653675
"434",8,"Napa",0.258874891848283
"435",8,"Nevada",0
"436",8,"Orange",0.627078297571796
"437",8,"Placer",0
"438",8,"Plumas",0
"439",8,"Riverside",1.31828384299775
"440",8,"Sacramento",0.253624171533577
"441",8,"San Benito",0
"442",8,"San Bernardino",0.847806578977979
"443",8,"San Diego",0.793752387191539
"444",8,"San Francisco",0.364651866642273
"445",8,"San Joaquin",0.27719093263439
"446",8,"San Luis Obispo",0
"447",8,"San Mateo",0.650556425441034
"448",8,"Santa Barbara",0.237650319342269
"449",8,"Santa Clara",0.275609920763751
"450",8,"Santa Cruz",0
"451",8,"Shasta",0
"452",8,"Sierra",0
"453",8,"Siskiyou",0
"454",8,"Solano",0.651020632679815
"455",8,"Sonoma",0
"456",8,"Stanislaus",0.642934439197308
"457",8,"Sutter",0
"458",8,"Tehama",0
"459",8,"Trinity",0
"460",8,"Tulare",2.01500486703295
"461",8,"Tuolumne",0
"462",8,"Ventura",0.381556977119319
"463",8,"Yolo",0.323349340790265
"464",8,"Yuba",0
"465",9,"Alameda",0.259755060920442
"466",9,"Alpine",0
"467",9,"Amador",0
"468",9,"Butte",0.182811486497962
"469",9,"Calaveras",0
"470",9,"Colusa",0
"471",9,"Contra Costa",0.171583091629139
"472",9,"Del Norte",0
"473",9,"El Dorado",0
"474",9,"Fresno",0.848490536742249
"475",9,"Glenn",0
"476",9,"Humboldt",0.593754934498271
"477",9,"Imperial",6.43953744970447
"478",9,"Inyo",0
"479",9,"Kern",0.77281355626162
"480",9,"Kings",0.763417093717393
"481",9,"Lake",0
"482",9,"Lassen",0
"483",9,"Los Angeles",2.19670646971758
"484",9,"Madera",0
"485",9,"Marin",0.45794487657026
"486",9,"Mariposa",0
"487",9,"Mendocino",0
"488",9,"Merced",0.138510453702507
"489",9,"Modoc",0
"490",9,"Mono",0
"491",9,"Monterey",0.177436307654344
"492",9,"Napa",0
"493",9,"Nevada",0
"494",9,"Orange",1.08512273431854
"495",9,"Placer",0.0994188170913923
"496",9,"Plumas",0
"497",9,"Riverside",1.08069631176965
"498",9,"Sacramento",0.101559462627082
"499",9,"San Benito",0
"500",9,"San Bernardino",0.969504089284571
"501",9,"San Diego",0.732331071516004
"502",9,"San Francisco",0.133850387557184
"503",9,"San Joaquin",0.305240015103346
"504",9,"San Luis Obispo",0
"505",9,"San Mateo",0.66521607278303
"506",9,"Santa Barbara",0.0872327561077772
"507",9,"Santa Clara",0.121399607955462
"508",9,"Santa Cruz",0
"509",9,"Shasta",0
"510",9,"Sierra",0
"511",9,"Siskiyou",0
"512",9,"Solano",0.537673290382883
"513",9,"Sonoma",0
"514",9,"Stanislaus",0.424795968755364
"515",9,"Sutter",0
"516",9,"Tehama",0
"517",9,"Trinity",0
"518",9,"Tulare",1.56145108192699
"519",9,"Tuolumne",0
"520",9,"Ventura",0.233426060737678
"521",9,"Yolo",0.356069214560709
"522",9,"Yuba",0
"523",10,"Alameda",0.313514812406878
"524",10,"Alpine",0
"525",10,"Amador",0
"526",10,"Butte",0
"527",10,"Calaveras",0
"528",10,"Colusa",0
"529",10,"Contra Costa",0.420561109695252
"530",10,"Del Norte",0
"531",10,"El Dorado",0
"532",10,"Fresno",0.827155184754533
"533",10,"Glenn",0
"534",10,"Humboldt",0.3031940091055
"535",10,"Imperial",11.8802173402921
"536",10,"Inyo",0
"537",10,"Kern",0.570018509583038
"538",10,"Kings",0.779660010604997
"539",10,"Lake",0
"540",10,"Lassen",0
"541",10,"Los Angeles",2.05318809349139
"542",10,"Madera",0.507938836934822
"543",10,"Marin",0.311792256388262
"544",10,"Mariposa",0
"545",10,"Mendocino",0
"546",10,"Merced",0.141457484632348
"547",10,"Modoc",0
"548",10,"Mono",0
"549",10,"Monterey",0.181211548242735
"550",10,"Napa",0
"551",10,"Nevada",0
"552",10,"Orange",1.32229656212898
"553",10,"Placer",0
"554",10,"Plumas",0
"555",10,"Riverside",1.15310879883964
"556",10,"Sacramento",0.155580453386168
"557",10,"San Benito",0.635058421058845
"558",10,"San Bernardino",0.715095214791456
"559",10,"San Diego",0.579029097039421
"560",10,"San Francisco",0.136698268143507
"561",10,"San Joaquin",0.519557472516333
"562",10,"San Luis Obispo",0
"563",10,"San Mateo",0.679369606246498
"564",10,"Santa Barbara",0.80179894975659
"565",10,"Santa Clara",0.123982578337493
"566",10,"Santa Cruz",0
"567",10,"Shasta",0.228510384898296
"568",10,"Sierra",0
"569",10,"Siskiyou",0
