"","Year","ID","Name","Percent.in.Poverty"
"138",2021,6043,"Mariposa County",14.1
"139",2021,6045,"Mendocino County",16.1
"140",2021,6047,"Merced County",21.9
"141",2021,6049,"Modoc County",19.9
"142",2021,6051,"Mono County",9.8
"143",2021,6053,"Monterey County",12.1
"144",2021,6055,"Napa County",9
"145",2021,6057,"Nevada County",11.8
"146",2021,6059,"Orange County",9.9
"147",2021,6061,"Placer County",6.6
"148",2021,6063,"Plumas County",13
"149",2021,6065,"Riverside County",11.6
"150",2021,6067,"Sacramento County",13
"151",2021,6069,"San Benito County",8.9
"152",2021,6071,"San Bernardino County",13.2
"153",2021,6073,"San Diego County",10.7
"154",2021,6075,"San Francisco County",11.4
"155",2021,6077,"San Joaquin County",12.3
"156",2021,6079,"San Luis Obispo County",13.1
"157",2021,6081,"San Mateo County",6.8
"158",2021,6083,"Santa Barbara County",15.2
"159",2021,6085,"Santa Clara County",6.9
"160",2021,6087,"Santa Cruz County",10.6
"161",2021,6089,"Shasta County",14
"162",2021,6091,"Sierra County",12.3
"163",2021,6093,"Siskiyou County",16.8
"164",2021,6095,"Solano County",10
"165",2021,6097,"Sonoma County",9.1
"166",2021,6099,"Stanislaus County",14.1
"167",2021,6101,"Sutter County",15.5
"168",2021,6103,"Tehama County",15.6
"169",2021,6105,"Trinity County",19.1
"170",2021,6107,"Tulare County",18.7
"171",2021,6109,"Tuolumne County",13.2
"172",2021,6111,"Ventura County",8.9
"173",2021,6113,"Yolo County",14.8
"174",2021,6115,"Yuba County",15.6
